# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	18540
#@/user_id	6b7ea6f5-52f9-45c1-9d3f-d367721ba4bb
a 	啊	c=105 d=0.0106531 t=18540
gen ben 	根本	c=3 d=9.95521e-07 t=18540
gen ju 	根據	c=2 d=4.30729e-33 t=18540
geng 	更	c=3 d=3.69511e-17 t=18540
geng cha 	更差	c=1 d=1.23683e-30 t=18540
geng duo 	更多	c=10 d=0.00517415 t=18540
geng duo de 	更多的	c=1 d=2.21091e-40 t=18540
geng jia 	更加	c=1 d=5.37378e-18 t=18540
geng xin 	更新	c=11 d=0.327919 t=18540
gong 	共	c=2 d=2.00759e-15 t=18540
gong 	工	c=1 d=1.13941e-06 t=18540
gong bu 	公佈	c=1 d=1.24604e-29 t=18540
gong chan 	共產	c=1 d=1.22116e-27 t=18540
gong cheng 	工程	c=4 d=1.95996e-05 t=18540
gong cheng xi 	工程系	c=1 d=4.59109e-19 t=18540
gong cheng xue 	工程學	c=2 d=3.46216e-16 t=18540
gong di 	工地	c=1 d=8.75949e-31 t=18540
gong gao 	公告	c=1 d=5.93471e-39 t=18540
gong ji 	攻擊	c=42 d=0.0127435 t=18540
gong ji hou 	攻擊后	c=1 d=1.97146e-15 t=18540
gong ji zhe 	攻擊者	c=1 d=1.19803e-08 t=18540
gong ju 	工具	c=38 d=0.0613293 t=18540
gong ju bao 	工具包	c=1 d=9.83541e-41 t=18540
gong kai 	公開	c=8 d=0.00174675 t=18540
gong kong 	工控	c=1 d=3.33846e-06 t=18540
gong li 	公里	c=1 d=3.175e-33 t=18540
gong min 	公民	c=4 d=2.68485e-21 t=18540
gong neng 	功能	c=9 d=0.779237 t=18540
gong qing 	公頃	c=1 d=6.26493e-29 t=18540
gong ran 	公然	c=1 d=3.41414e-05 t=18540
gong shi 	公式	c=1 d=1.156e-29 t=18540
gong si 	公司	c=8 d=1.48498e-09 t=18540
gong tong dian 	共同點	c=1 d=1.28775e-34 t=18540
gong wang 	公網	c=1 d=1.44473e-05 t=18540
gong xi 	恭喜	c=1 d=9.44011e-29 t=18540
gong xiang 	共享	c=3 d=1.55376e-09 t=18540
gong xiang de 	共享的	c=1 d=1.56155e-08 t=18540
gong ye 	工業	c=4 d=2.42505e-10 t=18540
gong yi 	公益	c=3 d=1.15482e-17 t=18540
gong zheng 	公證	c=1 d=1.14232e-36 t=18540
gong zhong 	公衆	c=1 d=3.04739e-21 t=18540
gong zhong hao 	公衆號	c=1 d=1.88177e-26 t=18540
gong zi 	工資	c=3 d=1.98546e-10 t=18540
gong zui 	功罪	c=1 d=3.23133e-34 t=18540
gong zuo 	工作	c=6 d=1.28945e-22 t=18540
gong zuo deng 	工作等	c=1 d=1.28311e-21 t=18540
gou 	夠	c=1 d=2.4431e-09 t=18540
gou mai 	購買	c=18 d=0.660881 t=18540
gou wu 	購物	c=2 d=9.52341e-27 t=18540
gou zao 	構造	c=1 d=1.54891e-30 t=18540
gu 	股	c=2 d=7.8703e-07 t=18540
gu dai 	古代	c=1 d=1.73739e-28 t=18540
gu ding 	固定	c=2 d=8.95083e-12 t=18540
gu ge 	谷歌	c=6 d=0.00873865 t=18540
gu ji 	估計	c=5 d=4.48474e-08 t=18540
gu niang 	姑娘	c=16 d=1.45592 t=18540
gu piao 	股票	c=8 d=2.95413e-05 t=18540
gu se 	古色	c=1 d=1.6244e-31 t=18540
gu shi 	故事	c=3 d=1.28468e-06 t=18540
gu shi 	股市	c=4 d=1.64642e-13 t=18540
gu xiang 	故鄉	c=1 d=1.18036e-39 t=18540
gu yi 	故意	c=1 d=1.37755e-33 t=18540
gu zheng 	古箏	c=13 d=2.75749e-06 t=18540
gu zhuang 	古裝	c=1 d=1.93473e-29 t=18540
gua 	挂	c=3 d=1.1396e-14 t=18540
gua 	掛	c=4 d=5.0912e-28 t=18540
gua dian hua 	挂電話	c=1 d=1.13157e-13 t=18540
guan 	管	c=0 d=5.57278e-35 t=18540
guan 	關	c=1 d=6.60544e-34 t=18540
guan bi 	關閉	c=9 d=5.9606e-13 t=18540
guan bu 	官捕	c=1 d=1.32814e-15 t=18540
guan ce 	觀測	c=1 d=7.98626e-32 t=18540
guan diao 	關掉	c=2 d=1.22724e-19 t=18540
guan fang 	官方	c=5 d=9.6954e-17 t=18540
guan ji 	關機	c=1 d=0.481909 t=18540
guan jian ci 	關鍵詞	c=4 d=0.000378158 t=18540
guan jian dian 	關鍵點	c=1 d=1.62108e-07 t=18540
guan kan 	觀看	c=4 d=5.91633e-24 t=18540
guan li 	管理	c=13 d=0.194333 t=18540
guan li qi 	管理器	c=1 d=1.7652e-09 t=18540
guan li yuan 	管理員	c=4 d=2.67226e-05 t=18540
guan wang 	官網	c=1 d=6.47485e-05 t=18540
guan xi 	關係	c=3 d=1.07047e-07 t=18540
guan yu 	關於	c=24 d=0.22313 t=18540
guan zhu 	關注	c=7 d=8.19592e-13 t=18540
guan zhuang 	冠狀	c=2 d=4.39056e-23 t=18540
guang 	光	c=1 d=7.8687e-34 t=18540
guang 	逛	c=1 d=3.99755e-08 t=18540
guang bo 	廣播	c=1 d=2.46128e-08 t=18540
guang gao 	廣告	c=7 d=1.8854e-05 t=18540
guang ke 	光刻	c=0 d=3.7202e-16 t=18540
guang ke ji 	光刻機	c=1 d=3.73884e-15 t=18540
guang xian 	光線	c=1 d=3.00775e-14 t=18540
gui 	貴	c=2 d=6.81378e-17 t=18540
gui 	鬼	c=1 d=2.64612e-07 t=18540
gui bi 	規避	c=4 d=8.25763e-05 t=18540
gui ding 	規定	c=4 d=2.80933e-05 t=18540
gui hua 	鬼話	c=1 d=4.90792e-10 t=18540
gui hua fu 	鬼畫符	c=1 d=6.96326e-37 t=18540
gui mo 	規模	c=5 d=5.50231e-31 t=18540
gui yuan 	桂圓	c=1 d=3.04377e-07 t=18540
gui ze 	規則	c=2 d=4.25439e-05 t=18540
gun 	滾	c=1 d=5.96142e-33 t=18540
guo 	國	c=12 d=1.04656e-06 t=18540
guo 	過	c=20 d=1.56851e-05 t=18540
guo an 	過暗	c=1 d=3.02282e-14 t=18540
guo cheng 	過程	c=2 d=8.27729e-36 t=18540
guo de 	過得	c=1 d=5.3138e-33 t=18540
guo ji 	國籍	c=1 d=0.00244185 t=18540
guo ji 	國際	c=3 d=3.03341e-24 t=18540
guo jia 	國家	c=6 d=1.94227e-06 t=18540
guo lai 	過來	c=1 d=4.42399e-24 t=18540
guo li 	國立	c=2 d=2.16155e-27 t=18540
guo lv 	過濾	c=1 d=6.44475e-09 t=18540
guo nei 	國內	c=17 d=0.00235879 t=18540
guo qi 	過期	c=1 d=7.78908e-32 t=18540
guo qu 	過去	c=8 d=2.48502e-10 t=18540
guo qu shi 	過去式	c=3 d=2.71202e-10 t=18540
guo qu shi 	過去時	c=1 d=1.38521e-10 t=18540
guo shi 	過時	c=3 d=8.21129e-06 t=18540
guo tu 	國土	c=1 d=6.98129e-38 t=18540
guo wai 	國外	c=18 d=0.927693 t=18540
ha 	哈	c=1 d=1.50339e-32 t=18540
ha ha 	哈哈	c=21 d=0.00760644 t=18540
ha ha ha 	哈哈哈	c=8 d=9.35037e-15 t=18540
ha xi 	哈希	c=7 d=0.0612213 t=18540
ha xi zhi 	哈希值	c=2 d=0.108957 t=18540
hai 	還	c=16 d=0.426069 t=18540
hai bao 	海報	c=1 d=1.94244e-17 t=18540
hai bu 	還不	c=1 d=0.694197 t=18540
hai bu cuo 	還不錯	c=6 d=7.3929e-06 t=18540
hai bu ru 	還不如	c=1 d=0.0018363 t=18540
hai cha 	還差	c=1 d=2.63382e-11 t=18540
hai guan 	海關	c=1 d=5.95229e-15 t=18540
hai hao 	還好	c=1 d=7.35697e-37 t=18540
hai ke yi 	還可以	c=2 d=0.0184084 t=18540
hai mei 	還沒	c=3 d=1.73619e-16 t=18540
hai mei you 	還沒有	c=6 d=0.000216717 t=18540
hai neng 	還能	c=1 d=1.52321e-39 t=18540
hai sen bao 	海森堡	c=1 d=2.46799e-40 t=18540
hai shi 	還是	c=34 d=0.754856 t=18540
hai xian 	海鮮	c=1 d=6.67658e-13 t=18540
hai xing 	還行	c=3 d=0.489192 t=18540
hai yao 	還要	c=2 d=5.13258e-30 t=18540
hai you 	還有	c=14 d=0.0013675 t=18540
hai you mei you 	還有沒有	c=1 d=6.87852e-40 t=18540
hai zao 	還早	c=1 d=1.40175e-32 t=18540
han bing 	寒冰	c=1 d=3.65336e-37 t=18540
han fu 	漢服	c=2 d=2.73107e-29 t=18540
han gai 	涵蓋	c=1 d=1.87627e-21 t=18540
han guo 	韓國	c=1 d=1.75939e-29 t=18540
han hua 	漢化	c=1 d=7.79862e-17 t=18540
han shu 	函數	c=1 d=9.16579e-35 t=18540
han yu 	漢語	c=6 d=4.93836e-26 t=18540
hang 	航	c=1 d=1.33407e-38 t=18540
hang 	行	c=2 d=6.40334e-09 t=18540
hang ban 	航班	c=2 d=1.06043e-39 t=18540
hang kong 	航空	c=2 d=1.54863e-39 t=18540
hang ye 	行業	c=5 d=5.41678e-10 t=18540
hao 	好	c=49 d=1.06103 t=18540
hao 	號	c=10 d=2.78417e-08 t=18540
hao 	豪	c=1 d=3.54539e-37 t=18540
hao ba 	好吧	c=12 d=1.41613e-05 t=18540
hao bi 	好比	c=1 d=8.94586e-14 t=18540
hao de 	好的	c=10 d=0.404542 t=18540
hao duo nian 	好多年	c=1 d=1.63171e-25 t=18540
hao guo 	好過	c=1 d=8.12656e-31 t=18540
hao ji le 	好極了	c=2 d=9.39813e-06 t=18540
hao jin 	耗盡	c=1 d=1.90696e-06 t=18540
hao kan 	好看	c=4 d=5.72016e-07 t=18540
hao lai wu 	好萊塢	c=1 d=6.34772e-07 t=18540
hao lo 	好咯	c=1 d=1.60021e-31 t=18540
hao ma 	好嗎	c=1 d=1.08624e-32 t=18540
hao ma 	號碼	c=10 d=1.08927e-06 t=18540
hao meng 	好夢	c=1 d=1.00724e-26 t=18540
hao qi xin 	好奇心	c=1 d=2.25442e-34 t=18540
hao xiang 	好像	c=6 d=0.00240549 t=18540
hao xiao xi 	好消息	c=1 d=7.97947e-22 t=18540
hao yong 	好用	c=7 d=2.27232e-06 t=18540
he 	和	c=96 d=0.588765 t=18540
he 	盒	c=1 d=0.123687 t=18540
he cheng 	合成	c=1 d=2.66021e-40 t=18540
he huo 	合伙	c=1 d=4.29543e-30 t=18540
he lan 	荷蘭	c=1 d=0.00204983 t=18540
he ping 	和平	c=1 d=4.8901e-26 t=18540
he ta 	和他	c=1 d=1.15978e-38 t=18540
he ta 	和她	c=1 d=2.81502e-29 t=18540
he tong 	合同	c=1 d=2.02557e-10 t=18540
he xin 	核心	c=1 d=1.31015e-31 t=18540
he yue 	合約	c=8 d=3.98484e-35 t=18540
he zuo 	合作	c=1 d=2.29957e-32 t=18540
hei 	嘿	c=3 d=4.44541e-22 t=18540
hei 	黑	c=4 d=1.37172e-30 t=18540
hei an 	黑暗	c=5 d=1.05933e-22 t=18540
hei chan 	黑產	c=1 d=4.11355e-21 t=18540
hei da 	黑大	c=2 d=3.9806e-38 t=18540
hei he 	黑盒	c=1 d=5.31669e-10 t=18540
hei ke 	黑客	c=8 d=9.13966e-18 t=18540
hei long jiang 	黑龍江	c=1 d=1.13408e-39 t=18540
hei ming dan 	黑名單	c=1 d=4.88428e-12 t=18540
hei se 	黑色	c=1 d=3.93522e-29 t=18540
hen 	很	c=7 d=1.16322e-14 t=18540
hen bang 	很棒	c=2 d=5.98111e-13 t=18540
hen bao qian 	很抱歉	c=1 d=4.29105e-18 t=18540
hen bu cuo 	很不錯	c=1 d=4.87747e-25 t=18540
hen da 	很大	c=2 d=5.57337e-11 t=18540
hen duo 	很多	c=4 d=1.6371e-05 t=18540
hen duo qian 	很多錢	c=1 d=3.52711e-35 t=18540
hen duo ren 	很多人	c=2 d=2.46933e-17 t=18540
hen fan 	很煩	c=0 d=5.29107e-13 t=18540
hen fan zao 	很煩躁	c=1 d=9.7124e-40 t=18540
hen gao 	很高	c=1 d=0.00140882 t=18540
hen gao xing 	很高興	c=1 d=2.0154e-39 t=18540
hen hao 	很好	c=7 d=0.680451 t=18540
hen ji 	痕跡	c=1 d=4.29178e-20 t=18540
hen jian dan 	很簡單	c=1 d=4.2637e-31 t=18540
hen jiu 	很久	c=2 d=6.60565e-05 t=18540
hen ka 	很卡	c=2 d=8.5802e-23 t=18540
hen ming xian 	很明顯	c=1 d=2.15786e-19 t=18540
hen nan 	很難	c=6 d=0.00275323 t=18540
hen rong yi 	很容易	c=1 d=1.77834e-08 t=18540
hen shao 	很少	c=2 d=1.73047e-38 t=18540
hen wan 	很晚	c=1 d=2.47783e-28 t=18540
hen wan le 	很晚了	c=1 d=1.05942e-32 t=18540
hen xi huan 	很喜歡	c=1 d=6.57718e-13 t=18540
hen xiao 	很小	c=1 d=2.93239e-39 t=18540
hong 	宏	c=1 d=4.60861e-05 t=18540
hong bao 	紅包	c=2 d=1.39092e-29 t=18540
hong chen 	紅塵	c=1 d=7.48876e-40 t=18540
hong lao 	洪澇	c=1 d=2.82278e-32 t=18540
hong se 	紅色	c=1 d=9.17047e-41 t=18540
hong shui 	洪水	c=2 d=4.01072e-06 t=18540
hou 	后	c=35 d=0.229513 t=18540
hou 	後	c=3 d=5.86453e-35 t=18540
hou duan 	後端	c=2 d=9.06026e-07 t=18540
hou guo 	後果	c=1 d=5.12755e-25 t=18540
hou lai 	後來	c=1 d=1.23364e-29 t=18540
hou men 	後門	c=23 d=3.42812e-05 t=18540
hou mian 	後面	c=4 d=5.45778e-24 t=18540
hou qi 	後期	c=2 d=4.63781e-31 t=18540
hou qu 	後去	c=1 d=4.09025e-13 t=18540
hou tai 	后台	c=3 d=0.10435 t=18540
hou tai 	後臺	c=10 d=0.524372 t=18540
hou xing 	後行	c=1 d=3.82087e-35 t=18540
hu 	胡	c=1 d=2.62881e-18 t=18540
hu 	虎	c=1 d=0.126186 t=18540
hu ji 	戶籍	c=3 d=0.00249118 t=18540
hu lian wang 	互聯網	c=12 d=0.0280154 t=18540
hu nan 	湖南	c=2 d=1.19246e-12 t=18540
hu nan sheng 	湖南省	c=2 d=1.96838e-26 t=18540
hu wang 	護網	c=1 d=2.28896e-07 t=18540
hu zhao 	護照	c=11 d=9.64023e-19 t=18540
hua 	化	c=5 d=0.215851 t=18540
hua 	畫	c=1 d=3.02962e-12 t=18540
hua 	花	c=2 d=6.22626e-15 t=18540
hua 	話	c=13 d=0.000717312 t=18540
hua bu 	畫布	c=3 d=1.02697e-33 t=18540
hua fen 	劃分	c=1 d=2.53624e-08 t=18540
hua he jia 	化合價	c=2 d=2.76177e-10 t=18540
hua shuo 	話說	c=2 d=1.32723e-07 t=18540
hua ti 	話題	c=1 d=1.90761e-10 t=18540
hua tu 	畫圖	c=1 d=5.36356e-25 t=18540
hua wei 	華爲	c=1 d=6.66275e-18 t=18540
hua xue 	化學	c=5 d=8.26064e-10 t=18540
hua xue xi 	化學系	c=1 d=4.84639e-38 t=18540
huai shi 	壞事	c=1 d=1.72309e-19 t=18540
huai yi 	懷疑	c=1 d=2.14447e-34 t=18540
huan 	換	c=10 d=8.76425e-08 t=18540
huan cun 	緩存	c=1 d=1.30859e-17 t=18540
huan deng pian 	幻燈片	c=1 d=4.10223e-18 t=18540
huan gei 	還給	c=1 d=6.25301e-36 t=18540
huan jing 	環境	c=13 d=0.108081 t=18540
huan ju hua 	換句話	c=1 d=4.79653e-34 t=18540
huan man 	緩慢	c=2 d=2.25526e-09 t=18540
huan ying 	歡迎	c=7 d=0.0199826 t=18540
huan yuan 	還原	c=1 d=0.0165727 t=18540
huang dou 	黃豆	c=1 d=6.05254e-35 t=18540
huang jin 	黃金	c=7 d=0.951229 t=18540
hui 	回	c=6 d=4.69164e-14 t=18540
hui 	會	c=41 d=0.182886 t=18540
hui 	灰	c=1 d=1.204e-37 t=18540
hui ben 	回本	c=1 d=0.00336274 t=18540
hui bian 	彙編	c=2 d=0.00348252 t=18540
hui che 	回車	c=2 d=4.53864e-11 t=18540
hui da 	回答	c=1 d=2.73275e-33 t=18540
hui de 	會得	c=1 d=4.13347e-19 t=18540
hui dian 	會點	c=1 d=2.68374e-26 t=18540
hui fu 	回覆	c=12 d=1.03621e-12 t=18540
hui fu 	恢復	c=2 d=0.000172672 t=18540
hui ge zi 	灰鴿子	c=1 d=1.24455e-15 t=18540
hui gei 	會給	c=0 d=1.56826e-30 t=18540
hui gei ni 	會給你	c=1 d=1.57612e-29 t=18540
hui hua 	會話	c=1 d=4.86323e-20 t=18540
hui lai 	回來	c=2 d=4.08316e-22 t=18540
hui se 	灰色	c=1 d=2.81062e-40 t=18540
hui shou 	揮手	c=11 d=6.28798e-13 t=18540
hui xiang 	回想	c=1 d=1.58106e-07 t=18540
hui xiang 	茴香	c=0 d=3.23749e-28 t=18540
hui xiang dou 	茴香豆	c=1 d=3.25372e-27 t=18540
hui xing zhen 	回形針	c=1 d=2.41912e-40 t=18540
hui yong 	會用	c=1 d=6.03589e-32 t=18540
hui you 	會有	c=2 d=8.07228e-11 t=18540
hui yuan 	會員	c=18 d=0.457022 t=18540
hui zai 	會在	c=1 d=1.82268e-33 t=18540
hui zhi 	繪製	c=1 d=5.25735e-25 t=18540
hun 	混	c=1 d=4.90276e-27 t=18540
hun luan 	混亂	c=1 d=2.45568e-40 t=18540
hun zi 	混子	c=1 d=8.33229e-31 t=18540
huo 	火	c=1 d=1.46552e-26 t=18540
huo 	貨	c=1 d=0.313486 t=18540
huo 	霍	c=1 d=7.28005e-31 t=18540
huo bi 	貨幣	c=1 d=1.10875e-38 t=18540
huo che zhan 	火車站	c=1 d=1.19222e-39 t=18540
huo de 	獲得	c=30 d=0.0351157 t=18540
huo gai 	活該	c=1 d=1.10649e-14 t=18540
huo jian 	火箭	c=2 d=3.03694e-10 t=18540
huo jiang 	獲獎	c=1 d=0.0025415 t=18540
huo li 	獲利	c=1 d=3.48359e-36 t=18540
huo qu 	獲取	c=5 d=8.28362e-13 t=18540
huo rong 	火絨	c=1 d=3.7718e-30 t=18540
huo tui 	火腿	c=1 d=1.52326e-10 t=18540
huo xu 	或許	c=10 d=1.58979e-25 t=18540
huo yuan 	貨源	c=1 d=2.97731e-12 t=18540
huo yue 	活躍	c=1 d=2.72903e-17 t=18540
huo zhe 	或者	c=45 d=0.00671277 t=18540
ji 	即	c=2 d=3.69843e-08 t=18540
ji 	及	c=2 d=1.81088e-09 t=18540
ji 	機	c=6 d=3.80331e-16 t=18540
ji 	雞	c=2 d=1.83312e-12 t=18540
ji ben 	基本	c=8 d=0.000644046 t=18540
ji bie 	級別	c=2 d=7.58127e-08 t=18540
ji chang 	機場	c=2 d=1.65476e-37 t=18540
ji cheng 	集成	c=3 d=0.000222639 t=18540
ji chu 	基礎	c=4 d=0.0152222 t=18540
ji chu 	擠出	c=2 d=7.29471e-14 t=18540
ji dan 	雞蛋	c=1 d=5.9913e-33 t=18540
ji de 	記得	c=6 d=0.00181803 t=18540
ji dian 	幾點	c=1 d=1.70391e-05 t=18540
ji fen 	積分	c=5 d=0.145148 t=18540
ji fu 	基輔	c=3 d=1.75774e-17 t=18540
ji ge 	幾個	c=8 d=1.72133e-07 t=18540
ji ge xiao shi 	幾個小時	c=1 d=8.94405e-41 t=18540
ji gou 	機構	c=2 d=1.27712e-21 t=18540
ji he 	集合	c=4 d=8.27522e-09 t=18540
ji hu 	幾乎	c=2 d=3.36105e-07 t=18540
ji hua 	計劃	c=7 d=5.49712e-06 t=18540
ji hui 	機會	c=2 d=5.07135e-13 t=18540
ji huo 	激活	c=2 d=6.72284e-06 t=18540
ji huo ma 	激活碼	c=6 d=3.05954e-09 t=18540
ji ji 	積極	c=0 d=4.0446e-29 t=18540
ji jiang 	即將	c=1 d=9.68238e-33 t=18540
ji jin 	基金	c=10 d=3.62894e-12 t=18540
ji ke 	即刻	c=2 d=5.31816e-35 t=18540
ji ke 	即可	c=11 d=0.00133297 t=18540
ji lu 	記錄	c=11 d=0.00264106 t=18540
ji luo 	擊落	c=1 d=1.19121e-29 t=18540
ji mi 	機密	c=6 d=2.90412e-08 t=18540
ji miao zhong 	幾秒鐘	c=2 d=1.38194e-31 t=18540
ji neng 	技能	c=1 d=3.38892e-06 t=18540
ji nian 	幾年	c=2 d=1.59695e-07 t=18540
ji nian qian 	幾年前	c=1 d=1.24067e-37 t=18540
ji piao 	機票	c=2 d=1.00417e-39 t=18540
ji qi 	及其	c=2 d=8.18286e-24 t=18540
ji qi 	機器	c=15 d=0.0117572 t=18540
ji qi de 	機器的	c=1 d=4.08747e-05 t=18540
ji qi ren 	機器人	c=1 d=6.42681e-35 t=18540
ji qian 	幾千	c=1 d=2.9512e-26 t=18540
ji qiao 	技巧	c=6 d=0.11673 t=18540
ji shi 	即使	c=1 d=1.1947e-34 t=18540
ji shi 	幾十	c=0 d=6.39605e-09 t=18540
ji shi hang 	幾十行	c=1 d=6.42811e-08 t=18540
ji shi nian 	幾十年	c=1 d=7.87566e-15 t=18540
ji shu 	奇數	c=1 d=6.38388e-15 t=18540
ji shu 	技術	c=13 d=0.0357384 t=18540
ji shu lei 	技術類	c=1 d=3.40464e-31 t=18540
ji si 	祭祀	c=1 d=6.5783e-15 t=18540
ji song 	寄送	c=1 d=3.87598e-27 t=18540
ji suan 	計算	c=1 d=1.13196e-17 t=18540
ji suan ji 	計算機	c=35 d=1.265 t=18540
ji tian 	幾天	c=4 d=0.00406639 t=18540
ji xia lai 	記下來	c=1 d=1.89384e-13 t=18540
ji xie 	機械	c=4 d=1.54229e-25 t=18540
ji xu 	繼續	c=4 d=3.66858e-18 t=18540
ji yang 	幾樣	c=0 d=3.58114e-09 t=18540
ji yi 	記憶	c=1 d=9.72595e-27 t=18540
ji yu 	基於	c=1 d=3.21586e-07 t=18540
ji zhu 	記住	c=1 d=4.84984e-17 t=18540
jia 	假	c=2 d=1.51226e-13 t=18540
jia 	加	c=9 d=6.75834e-11 t=18540
jia 	家	c=1 d=8.74283e-38 t=18540
jia ban 	加班	c=1 d=7.60995e-23 t=18540
jia che 	駕車	c=1 d=1.80547e-39 t=18540
jia de 	假的	c=1 d=3.59775e-33 t=18540
jia ge 	價格	c=11 d=5.72749e-31 t=18540
jia jian 	價鍵	c=1 d=1.01387e-15 t=18540
jia kuai 	加快	c=1 d=4.31109e-14 t=18540
jia li 	家裏	c=4 d=7.71322e-05 t=18540
jia mi 	加密	c=15 d=0.000457666 t=18540
jia mi liu liang 	加密流量	c=1 d=1.17128e-07 t=18540
jia na da 	加拿大	c=3 d=0.00301534 t=18540
jia ru 	假如	c=2 d=9.51877e-09 t=18540
jia ru 	加入	c=10 d=0.132022 t=18540
jia shang 	加上	c=1 d=2.88775e-35 t=18540
jia shang qu 	加上去	c=1 d=1.76184e-16 t=18540
jia she 	假設	c=2 d=1.93833e-35 t=18540
jia shi 	駕駛	c=1 d=1.67501e-39 t=18540
jia xin wen 	假新聞	c=2 d=6.61649e-22 t=18540
jia zai 	加載	c=4 d=7.39535e-10 t=18540
jia zu 	家族	c=1 d=5.37744e-26 t=18540
jian 	劍	c=2 d=5.04777e-17 t=18540
jian 	見	c=0 d=1.11336e-29 t=18540
jian ce 	檢測	c=6 d=7.15786e-05 t=18540
jian ce dao 	檢測到	c=2 d=3.64023e-15 t=18540
jian cha 	檢查	c=4 d=0.00416933 t=18540
jian dan 	簡單	c=7 d=0.0149208 t=18540
jian dao 	見到	c=1 d=1.71537e-25 t=18540
jian ge 	間隔	c=1 d=4.33344e-16 t=18540
jian guo 	建國	c=1 d=1.48202e-40 t=18540
jian hao 	見好	c=1 d=3.41879e-21 t=18540
jian jie 	簡介	c=6 d=5.87915e-06 t=18540
jian jie shang 	簡介上	c=1 d=2.95632e-17 t=18540
jian kao 	監考	c=4 d=4.33565e-18 t=18540
jian li 	建立	c=5 d=1.22503e-13 t=18540
jian mian 	見面	c=1 d=1.5925e-33 t=18540
jian pan 	鍵盤	c=1 d=4.34022e-05 t=18540
jian qu 	減去	c=1 d=2.511e-08 t=18540
jian rong 	兼容	c=1 d=1.25122e-19 t=18540
jian she 	建設	c=3 d=8.66166e-22 t=18540
jian shi 	監視	c=0 d=2.20978e-35 t=18540
jian shi zhe 	監視者	c=1 d=2.22086e-34 t=18540
jian suo 	檢索	c=1 d=0.000312783 t=18540
jian ting 	監聽	c=10 d=0.00169212 t=18540
jian tou 	箭頭	c=1 d=3.12072e-36 t=18540
jian yi 	建議	c=9 d=0.0212797 t=18540
jian yi 	簡易	c=1 d=2.84524e-37 t=18540
jian zhu wu 	建築物	c=1 d=4.43846e-33 t=18540
jiang 	將	c=15 d=0.819402 t=18540
jiang 	講	c=1 d=1.73049e-40 t=18540
jiang di 	降低	c=1 d=1.61773e-12 t=18540
jiang hui 	將會	c=1 d=1.10592e-08 t=18540
jiang jiang 	講講	c=1 d=3.78156e-31 t=18540
jiang jie 	講解	c=2 d=0.0293033 t=18540
jiang lai 	將來	c=5 d=5.09486e-08 t=18540
jiang shu 	講述	c=1 d=2.2548e-36 t=18540
jiang yao 	將要	c=5 d=9.25917e-36 t=18540
jiang yu 	降雨	c=1 d=2.8087e-32 t=18540
jiao 	叫	c=3 d=6.01211e-15 t=18540
jiao 	教	c=3 d=1.92725e-13 t=18540
jiao ben 	腳本	c=17 d=0.0989687 t=18540
jiao bu 	腳步	c=1 d=1.56533e-07 t=18540
jiao cai 	教材	c=2 d=5.80335e-11 t=18540
jiao cha 	交叉	c=1 d=4.04748e-07 t=18540
jiao cheng 	教程	c=50 d=0.00014901 t=18540
jiao du 	角度	c=1 d=3.48667e-17 t=18540
jiao gei 	交給	c=2 d=4.38907e-19 t=18540
jiao hu 	交互	c=1 d=1.03738e-20 t=18540
jiao huan 	交換	c=1 d=1.1459e-14 t=18540
jiao jiao 	教教	c=1 d=9.21045e-32 t=18540
jiao jiao wo 	教教我	c=1 d=8.18844e-32 t=18540
jiao liu 	交流	c=3 d=1.24176e-18 t=18540
jiao shi 	教師	c=1 d=1.72279e-17 t=18540
jiao shou 	教授	c=2 d=2.11411e-36 t=18540
jiao wo 	教我	c=1 d=9.56618e-38 t=18540
jiao xue 	教學	c=3 d=6.19943e-23 t=18540
jiao yi 	交易	c=10 d=3.00877e-18 t=18540
jiao yi suo 	交易所	c=6 d=8.86586e-35 t=18540
jiao yu 	教育	c=2 d=1.17815e-17 t=18540
jiao yu wen ping 	教育文憑	c=1 d=3.89408e-23 t=18540
jiao zuo 	叫做	c=2 d=1.00928e-35 t=18540
jie 	借	c=4 d=4.30671e-36 t=18540
jie 	傑	c=1 d=1.62274e-19 t=18540
jie 	姐	c=1 d=3.49807e-26 t=18540
jie 	接	c=1 d=1.56965e-10 t=18540
jie chi 	劫持	c=6 d=3.51218e-06 t=18540
jie chu 	解除	c=2 d=0.00197148 t=18540
jie dian 	節點	c=1 d=8.53741e-23 t=18540
jie duan 	階段	c=2 d=0.267135 t=18540
jie gou 	結構	c=2 d=1.4407e-23 t=18540
jie guo 	結果	c=15 d=3.9214e-05 t=18540
jie he 	結合	c=2 d=6.02357e-08 t=18540
jie jie 	姐姐	c=23 d=1.1479e-05 t=18540
jie jin 	接近	c=1 d=1.16219e-33 t=18540
jie jue 	解決	c=12 d=2.55206e-06 t=18540
jie ke 	皆可	c=1 d=7.83238e-09 t=18540
jie kou 	接口	c=4 d=3.94688e-05 t=18540
jie mi 	解密	c=6 d=2.1992e-07 t=18540
jie pan 	接盤	c=1 d=3.59408e-21 t=18540
jie ping 	截屏	c=1 d=1.44596e-15 t=18540
jie pou 	解剖	c=1 d=4.85893e-39 t=18540
jie qu 	截取	c=1 d=1.62246e-17 t=18540
jie shao 	介紹	c=3 d=0.0124629 t=18540
